,model,train_rmse,test_rmse,min,max,mean,std,sept,oct,nov,dec
Compliance : Returns / Reports,mlr-NS,293.46,254.61,456.0,4449.0,1145.4117647058824,799.9080214903463,1496,2107,1006,368
International (US) : Returns / Reports,mlr-NS,56.09,69.47,44.0,684.0,214.5441176470588,149.33538671753422,489,241,99,68
Compliance : Amounts,mlr-NS,20.93,28.7,33.0,352.0,125.22058823529412,76.43470446995927,208,234,134,61
Compliance : Install / Rollover,mlr-NS,28.99,54.25,30.0,280.0,104.72058823529412,67.24001242779933,78,75,42,37
Compliance : Configuration / Setup,mlr-NS,13.82,10.73,42.0,164.0,87.70588235294117,26.948850845562976,74,44,30,17
Partnership / S Corp / Pass-Through : Returns / Reports,mlr-NS,24.78,33.62,6.0,271.0,87.16176470588235,64.72366295330531,215,40,31,13
International (US) : Foreign Processing,arima-S,32.71,32.03,19.0,220.0,80.30882352941177,44.9547890142049,97,67,61,53
Provision : Federal,mlr-NS,13.98,12.44,24.0,247.0,66.01470588235294,36.10659701042731,51,50,44,37
Compliance : Import / Export,mlr-NS,9.0,10.06,11.0,110.0,48.51470588235294,22.153125615566516,32,9,7,3
Compliance : Environment Maintenance,arima-S,47.74,24.59,14.0,393.0,46.86764705882353,50.457874971304946,38,36,33,41
International (US) : Tax Cuts and Jobs Act,mlr-NS,12.39,13.23,0.0,334.0,57.2037037037037,72.92937385532267,18,18,16,11
International (US) : Calculation / Posting,arima-S,21.69,12.03,7.0,166.0,44.720588235294116,31.394859160989512,78,37,21,21
Provision : Configuration / Setup,arima-S,11.99,9.78,18.0,100.0,40.98529411764706,16.287979861600554,32,31,30,32
Provision : State,mlr-NS,6.95,10.28,5.0,79.0,27.955882352941178,15.411213036926545,30,33,27,52
International (US) : Configuration / Setup,arima-S,8.14,10.48,7.0,52.0,24.602941176470587,10.161589524682146,27,20,14,20
