,same day,1-3 days,4-8 days,9-15 days,16-30 days,31-90 days,91-180 day,181-365 days,more than 365 days,total_count
Compliance : Returns / Reports,56373,14046,5569,1084,421,224,84,60,6,77867
International (US) : Returns / Reports,6648,3842,2653,855,332,129,60,40,0,14559
Compliance : Amounts,6086,1562,612,126,51,35,16,21,3,8512
Compliance : Install / Rollover,4650,1346,717,205,107,51,18,19,2,7115
Compliance : Configuration / Setup,3937,1091,577,171,93,52,14,21,6,5962
Partnership / S Corp / Pass-Through : Returns / Reports,3013,1573,872,267,92,40,44,19,1,5921
International (US) : Foreign Processing,2449,1241,1017,352,156,156,48,29,2,5450
Provision : Federal,2628,1031,441,159,83,56,22,37,27,4484
Compliance : Import / Export,2002,734,350,92,45,27,30,18,1,3299
Compliance : Environment Maintenance,1693,575,233,74,155,450,5,1,1,3187
International (US) : Tax Cuts and Jobs Act,862,921,712,281,144,107,48,13,0,3088
International (US) : Calculation / Posting,1359,784,539,210,64,52,17,4,0,3029
Provision : Configuration / Setup,1608,567,317,99,84,48,19,25,17,2784
Provision : State,1053,491,195,68,41,23,15,9,5,1900
International (US) : Configuration / Setup,895,407,262,55,30,13,6,2,1,1671
